# UnitLevel.txt is used to define what units will be part of this level; and where they will spawn
# 
# Each unit belongs on its own line
# Syntax:
# team; savedunit; event_id; unit_id; position; ai; status (optional)
# - OR -
# team; savedunit; event_id; class; level; items; position; ai; group; status (optional)
# 
# savedunit refers to whether the unit should be loaded from a previous level (ie player characters).
# event_id gives the unit a unique id that other scripts use. The unit will not start on the battlefield unless event_id = 0.
# unit_id refers to what kind of unit to load from the data.xml files
# position should be formatted like #,#
# ai refers to what kind of AI the unit should possess.
#
# --------------------------------------------
# Player Characters
player;1;0;Ophie;None;None
player;1;0;Prim;None;None
player;1;0;Joel;None;None
player;1;0;Nia;None;None
player;1;0;Althea;None;None
player;1;0;Drake;None;None
player;0;0;Renae;None;None
player;0;0;Theo;None;None
#
# Enemies
# Groups
group;Guard;Guard;Empire;Fort Kosheen guard
# Boss
enemy;0;Harold;Harold;6,18;Pursue
# Boss Group
enemy;0;G1;Tactician;6;Glimmer,dMend;5,18;FollowBoss;Guard
enemy;0;G2;Sentinel;7;Steel Axe;7,18;Pursue;Guard
#
# 3 Sentinels, 4 Soldiers, 2 Knights, 2 Mercenaries, 1 Archers, 2 Shaman
# Starting Enemies
enemy;0;0;Soldier;4;Iron Lance;5,10;SoftGuard;Guard
enemy;0;0;Sentinel;3;Iron Axe;7,10;SoftGuard;Guard
enemy;0;0;Knight;2;Iron Lance;8,11;SoftGuard;Guard
enemy;0;0;Soldier;4;Iron Lance,Potion;8,13;SoftGuard;Guard
enemy;0;S4;Soldier;4;Iron Lance;18,4;HardGuard;Guard
enemy;0;S3;Soldier;4;Iron Lance;18,4;HardGuard;Guard
enemy;0;S2;Soldier;4;Iron Lance;18,5;HardGuard;Guard
enemy;0;S1;Soldier;5;Iron Lance;18,12;HardGuard;Guard
enemy;0;0;Knight;3;Iron Lance,dSkeleton Key;8,5;Attack;Guard
enemy;0;0;Mercenary;4;Iron Sword,dSkeleton Key;15,11;Attack;Guard
enemy;0;0;Sentinel;5;dSteel Axe;11,14;SoftGuard;Guard
enemy;0;0;Shaman;2;Flux;15,13;Attack;Guard
enemy;0;0;Archer;3;dWillow Bow;11,4;Attack;Guard
#enemy;0;0;Sentinel;4;Iron Axe,Potion;3,8;Attack;Guard
enemy;0;0;Shaman;2;Flux,dMana Ring;1,3;Attack;Guard
enemy;0;0;Mercenary;5;dSteel Sword;15,3;Attack;Guard
enemy;0;0;Mercenary;4;Iron Sword,Potion;13,9;Attack;Guard
enemy;0;0;Mercenary;5;Iron Sword;5,5;Attack;Guard
enemy;0;0;Mage;3;Fire;15,7;Attack;Guard
# 2 Sentinels, 5 Soldiers, 3 Archers, 2 Shaman, 3 Mages
# 3 Waves
# Reinforcement, wave 1
enemy;0;pack1_1;Sentinel;4;Iron Axe;0,0;Pursue;Guard
enemy;0;pack1_2;Soldier;4;Iron Lance;0,0;Pursue;Guard
enemy;0;pack1_3;Soldier;4;Iron Lance;0,0;Pursue;Guard
enemy;0;pack1_4;Mage;3;Fire;0,0;Pursue;Guard
enemy;0;pack1_5;Archer;4;Willow Bow;0,0;Pursue;Guard
# Reinforcement, wave 2
enemy;0;pack2_1;Sentinel;5;Iron Axe;0,0;Pursue;Guard
enemy;0;pack2_2;Soldier;5;Iron Lance;0,0;Pursue;Guard
enemy;0;pack2_3;Archer;4;Willow Bow;0,0;Pursue;Guard
enemy;0;pack2_4;Shaman;4;Flux;0,0;Pursue;Guard
enemy;0;pack2_5;Mage;4;Fire,Wind;0,0;Pursue;Guard
# Reinforcement, wave 3
enemy;0;pack3_1;Soldier;6;Steel Lance;0,0;Pursue;Guard
enemy;0;pack3_2;Soldier;6;Steel Lance;0,0;Pursue;Guard
enemy;0;pack3_3;Archer;5;Oak Bow;0,0;Pursue;Guard
enemy;0;pack3_4;Shaman;5;Nyx;0,0;Pursue;Guard
enemy;0;pack3_5;Mage;5;Earth,Fire;0,0;Pursue;Guard
# Infinite Reinforcements
# 2 means prefab. No level
#enemy;2;i1;Sentinel;Steel Axe,Hand Axe;0,0;Pursue;Guard;Void_Curse
#enemy;2;i2;Soldier;Steel Lance,Javelin;0,0;Pursue;Guard;Void_Curse
#enemy;2;i3;Mage;Fire;0,0;Pursue;Guard;Void_Curse
#enemy;2;i4;Shaman;Nyx;0,0;Pursue;Guard;Void_Curse
#enemy;2;i5;Archer;Oak Bow;0,0;Pursue;Guard;Void_Curse
